id,sexo,idade,pergunta1,pergunta2,pergunta3,street1,street2,street3,street4,street5,street6,street7,street8,street9,street10,data_inicio,data_fim,duracao,duracao1,duracao2,duracao3,duracao4,duracao5,duracao6,duracao7,duracao8,duracao9,duracao10,data_criado,soma_poi
1,Masculino,18-24,NÃO,SIM,9,"Bar do cuscuz, de frente ao açude velho","Praça do açude novo, de frente ao terminal de integração.",Centro. próximo ao burgiff,não sei,Aço brasil. próximo a ufcg,não sei. estou perdido,Centro. próximo a praça clementino procópio,Atacadão. Próximo aos restaurantes,Shopping Luiza Mota. Rua Vigário Calixto,Polícia Federal. Avenida Brasília,2019-09-23 09:36:18,2019-09-23 09:41:03,00:04:20,00:00:24,00:00:30,00:00:44,00:00:18,00:00:20,00:00:17,00:00:25,00:00:32,00:00:26,00:00:24,2019-09-23 12:41:03,15
2,Masculino,18-24,SIM,SIM,5,próximo ao açude velho ao lado da korpus.,"açude novo, próximo ao parque do povo e à integração.",,,subindo na rua da ufcg.,,atrás da praça dos hippies.,não sei.,"próximo ao luiza motta, no catolé.",na rua do shopping.,2019-09-23 09:36:18,2019-09-23 09:41:20,00:04:37,00:00:27,00:00:27,00:00:35,00:00:29,00:00:27,00:00:30,00:00:43,00:00:24,00:00:20,00:00:15,2019-09-23 12:41:20,10
3,Masculino,18-24,SIM,SIM,7,Bar do Cuscuz,Praça ao lado da integração,Centro da cidade,frente da escola municipal manoel francisco da motta,Bairro no litoral da cidade,proximo a rodoviária,centro da cidade,UPA,Rua Luiza Bezerra Motta,Proximo ao shopping partage,2019-09-23 09:36:48,2019-09-23 09:41:27,00:03:57,00:00:07,00:00:19,00:00:20,00:00:38,00:00:54,00:00:19,00:00:20,00:00:19,00:00:20,00:00:21,2019-09-23 12:41:27,10
4,Masculino,18-24,SIM,SIM,8,bdc,praça do assalto ,centro,Escola municipal manoel francisco da motta,na frente do aço brasil,rua perigosa ,praça dos hippie ,em frente campina grill ,em frente ao luiza motta,em frente a policia federal perto do partage,2019-09-23 09:36:19,2019-09-23 09:41:39,00:04:26,00:00:10,00:00:14,00:00:40,00:00:27,00:00:23,00:01:12,00:00:20,00:00:24,00:00:11,00:00:25,2019-09-23 12:41:39,11
5,Masculino,18-24,SIM,SIM,8,bar do cuscuz,praça do lado da integração,"centro, proximo ao curso aprovação ",na frente da escola municipal manoel francisco da motta,Na frente do supermercado GERMANO ,Rodoviária velha,No centro do lado das praças dos rips ,"Na frente da UPA
",No lado do shopping luiza mota,No lado da sede da polícia federal ,2019-09-23 09:36:25,2019-09-23 09:41:48,00:04:38,00:00:15,00:00:26,00:00:45,00:00:23,00:00:24,00:00:32,00:00:42,00:00:08,00:00:37,00:00:26,2019-09-23 12:41:48,13
6,Masculino,18-24,SIM,SIM,8,"Bar do Cuscuz, em frente ao açude velho","Açude novo, do lado do terminal de integração","do lado do burgiff, próximo a pracinha","No bodocongó, perto do residencial san patrick","Descendo a rua que vai pra UFCG, ali na aço brazil","Não sei direito, acho que no distrito dos mecânicos","Centro da cidade, perto do antigo hotel ouro branco",Na UPA em frente ao Atacadão,No posto ali em frente ao Luiza Motta,"Na polícia federal, na rua do shopping partage",2019-09-23 09:36:19,2019-09-23 09:42:52,00:05:19,00:00:15,00:00:27,00:00:58,00:00:54,00:00:27,00:00:54,00:00:26,00:00:17,00:00:13,00:00:28,2019-09-23 12:42:52,19
7,Feminino,18-24,SIM,SIM,8,frente do bar do cuscuz,escadaria do açude novo,"estacionamento no catole, perto de uma pracinha",portão da escola municipal manoel francisco da mota no jardim paulistano,em frente a aço brasil,"perto de um bar, tem muito carro, parece destrito dos mecanicos",igreja batista da praça clementino procopio,na porta da upa do alto branco,"posto feliz, no catolé, na frente do luiza mota",na frente da policia federal,2019-09-23 09:36:19,2019-09-23 09:43:00,00:05:52,00:00:14,00:00:11,00:01:17,00:00:41,00:00:30,00:01:19,00:00:43,00:00:18,00:00:24,00:00:15,2019-09-23 12:43:00,17
8,Masculino,18-24,SIM,SIM,5,"Na entrada do bar do cuscuz, em frenta ao açude velho",Em frente a porta da integração,"Em frente ao estacionamento rotativo, na rua antes do H Burguer",em frente a escola municipal francisco da motta,em frente a um hotel verde vizinho ao supermercado germano,,na calçada da igreja baptista ao lado do Hotel Nord no Centro da cidade,na frente da UPA,em uma encruzilhada na frente do POSTOS FELIZ,na rua do Partage Shopping em frente a um posto da policia federal,2019-09-23 09:36:18,2019-09-23 09:43:12,00:06:14,00:00:50,00:00:57,00:00:46,00:00:24,00:00:44,00:00:39,00:00:38,00:00:15,00:00:40,00:00:21,2019-09-23 12:43:12,14
9,Masculino,24-30,SIM,SIM,2,Em frente ao bar do cuscuz acude velho,"Acude novo, passando do parque do povo em direcao a integracao",Em frente a feitosa imoveis do centro,Em frente a escola municipal manoel francisco da motta,"Em frente ao germano, proximo da UFCG","Na rua da casa das embreagens, no bairro onde tem as sucatas de carro",Na frente da 1a igreja baptista,Na frente da upa maia de oliveira,"Cruzamento da rua joao quirino com vigario calixto, no catole","Na frente da sede da policia federal, entrada de campina, depois do shopping partage em direcao ao acude velho",2019-09-23 09:36:56,2019-09-23 09:43:13,00:05:38,00:00:17,00:00:35,00:01:03,00:00:30,00:00:17,00:01:27,00:00:19,00:00:17,00:00:25,00:00:28,2019-09-23 12:43:14,20
10,Feminino,18-24,SIM,SIM,6,"Bar do cuscuz
","Parque do povo, próximo ao terminal de integração
","Não sei
","Não sei
","Rua Silva Barbosa, próximo ao residencial Germano e em frente ao mercadinho Germano
",,"Centro de Campina Grande, no parque da bandeira
","UPA 24H, não sei onde fica localizada","Shopping Luizza Motta, pega o 404 que vai pra lá","Perto do shopping partage e do extra. Pega o bus 955 ou 092
",2019-09-23 09:40:08,2019-09-23 09:44:09,00:03:37,00:00:26,00:00:15,00:00:14,00:00:09,00:00:31,00:00:00,00:00:28,00:00:21,00:00:19,00:00:54,2019-09-23 12:44:09,13
